Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,year,Month,Alert Criteria,Event Month
10/06/2016,09:50:00,10/06/2016,19:00:00,Texas:,TRE,Public Appeal,Unknown,Unknown,2016,October,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system,
10/06/2016,19:30:00,2016-10-08 00:00:00,18:00:00,Florida:,FRCC,Severe Weather,5600,1200000,2016,October,"Loss of electric service to more than 50,000 customers for 1 hour or more",
10/07/2016,08:00:00,10/09/2016,13:00:00,"Florida: Alachua County, Bay County, Citrus County, Columbia County, Dixie County, Franklin County, Gilchrist County, Gulf County, Hamilton County, Hardee County, Hernando County, Highlands County, Jefferson County, Lafayette County, Lake County, Levy County, Madison County, Marion County, Orange County, Osceola County, Pasco County, Pinellas County, Polk County, Seminole County, Sumter County, Suwannee County, Taylor County, Volusia County, Wakulla County;",FRCC,Severe Weather,413,165000,2016,October,"Loss of electric service to more than 50,000 customers for 1 hour or more",
10/07/2016,11:08:00,10/07/2016,19:00:00,Texas:,TRE,Generation Inadequacy,Unknown,Unknown,2016,October,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system,
10/07/2016,16:22:00,10/12/2016,11:00:00,Georgia:,SERC,Severe Weather,122,36384,2016,October,"Loss of electric service to more than 50,000 customers for 1 hour or more",
10/07/2016,22:45:00,Unknown,Unknown,Florida:,FRCC,Severe Weather,Unknown,Unknown,2016,October,"Loss of electric service to more than 50,000 customers for 1 hour or more",
10/07/2016,23:00:00,Unknown,Unknown,"South Carolina: Allendale County, Bamberg County, Beaufort County, Berkeley County, Charleston County, Chesterfield County, Clarendon County, Colleton County, Darlington County, Dorchester County, Florence County, Georgetown County, Hampton County, Horry County, Jasper County, Kershaw County, Lee County, Marion County, Marlboro County, Orangeburg County, Richland County, Sumter County, Williamsburg County;",SERC,Severe Weather,Unknown,Unknown,2016,October,"Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident
Loss of electric service to more than 50,000 customers for 1 hour or more
",
10/08/2016,08:21:00,10/13/2016,17:30:00,North Carolina: South Carolina:,SERC,Severe Weather,Unknown,Unknown,2016,October,"Loss of electric service to more than 50,000 customers for 1 hour or more",
10/08/2016,14:05:00,10/09/2016,06:06:00,North Carolina:,SERC,Severe Weather,Unknown,44875,2016,October,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,
10/08/2016,01:10:00,Unknown,Unknown,South Carolina:,SERC,Severe Weather,1050,290824,2016,October,"Loss of electric service to more than 50,000 customers for 1 hour or more",
